0.04059611,-0.2088634,0.2066744
0.03798262,-0.2073528,0.1967842
0.06540764,-0.14315,0.2229886
0.05056194,-0.008384789,0.2237036
0.05080416,-0.2093932,0.2105468
-0.05513604,-0.2088928,0.2792657
0.04642797,0.03687618,0.2306035
0.05758256,0.04123541,0.2430161
0.07066935,-0.1154171,0.2354312
0.05836022,0.0308403,0.2426047
0.04034696,-0.209028,0.20678
0.03786653,-0.2072586,0.1966051
0.06525503,-0.1431959,0.2229694
0.05034974,-0.008388761,0.2239737
0.05060327,-0.2094762,0.2105586
-0.05527306,-0.2087872,0.2791415
0.04626954,0.03689208,0.2308289
0.03571091,0.02931578,0.2255307
0.04668221,0.003692136,0.2257754
0.06723792,-0.1377078,0.2216094
0.01076031,0.001443487,0.2232282
-0.3097267,-0.2059738,0.6893341
0.05749868,0.04127609,0.2430338
0.07045148,-0.1155794,0.2356909
0.03706302,0.0174054,0.2248636
0.06297307,-0.157375,0.2179453
0.06480599,-0.1434491,0.2235238
0.04960802,-0.008373411,0.2252347
-0.05540039,-0.2085258,0.2788506
0.0668863,-0.1382119,0.2229571
0.01040341,0.001329985,0.2235786
-0.3046839,-0.2033513,0.6806641
0.06981423,-0.1160792,0.2369574
-0.3151579,-0.2118363,0.7055269
0.03672733,0.01748419,0.2249459
0.06258137,-0.1574389,0.2181592
0.0661409,-0.1381377,0.2230263
0.03635322,0.01751255,0.2243059
0.03516263,-0.008140193,0.2235601
-0.05929628,-0.2118199,0.2841901
0.06605672,-0.1380616,0.2229965
0.01022832,0.001318193,0.2224295
0.03621329,0.01752665,0.2243737
0.03551733,-0.008080608,0.2225751
0.01094595,0.01404807,0.2247706
0.04781508,-0.008293648,0.2304832
-0.05914941,-0.2118245,0.2843788
0.06615062,-0.1381947,0.2232226
0.01050909,0.001279373,0.2222666
0.03603841,-0.007604781,0.2224261
0.06926516,-0.1400025,0.2389292
-0.4403076,0.05802664,0.6028587
0.04782095,-0.008312185,0.2303768
-0.05918051,-0.2119106,0.2844198
0.06613946,-0.1382593,0.223374
0.01049151,0.00142373,0.2226637
0.03648005,0.01799469,0.2251493
0.03598605,-0.007603997,0.2224189
0.02919163,-0.002068425,0.224256
0.04759043,-0.008404803,0.2301252
-0.05916674,-0.2119713,0.2841853
0.066014,-0.138214,0.2228831
0.01022039,0.001417805,0.2221763
0.03616731,0.01792414,0.2249607
0.03569987,-0.007678879,0.2222282
0.04687864,-0.008042088,0.2296392
-0.05985825,-0.2119376,0.2840804
0.06556814,-0.1382294,0.2227946
0.009675145,0.001430119,0.2220787
0.03559248,0.0178952,0.2249229
0.03516197,-0.007711162,0.2221537
0.04700607,-0.008044474,0.229601
-0.05980588,-0.2119507,0.2840396
0.06549986,-0.1382249,0.222717
0.009426132,0.001438895,0.2223295
0.03520038,0.01787382,0.225021
0.03513984,-0.007397059,0.2220304
0.04680026,-0.008014475,0.2294991
-0.06009664,-0.2119341,0.2839781
0.06542063,-0.1381916,0.2225273
0.008964106,0.001252882,0.2223453
0.03501213,0.01788814,0.2251047
0.03494494,-0.00738162,0.2221185
0.04687665,-0.008053154,0.2292938
-0.05965997,-0.2116053,0.2834203
0.06536327,-0.1382341,0.222665
0.008859739,0.001193395,0.2225134
0.03495815,0.01784278,0.2251572
0.03490198,-0.007425506,0.2221605
-0.05928138,-0.2110376,0.2840413
0.06523026,-0.1379876,0.2225647
0.008831382,0.001328997,0.2224189
0.03491698,0.01802024,0.2250877
-0.4447954,0.05782351,0.6047081
-0.05878659,-0.2104027,0.2832171
0.06534258,-0.1375926,0.2219467
0.008636072,0.001410022,0.2225515
0.03495325,0.0175522,0.2244827
-0.4474424,0.05849881,0.6081545
0.009372756,0.0142167,0.2232027
-0.057945,-0.2092401,0.2818197
0.0651221,-0.1367672,0.2208387
0.00833267,0.002011011,0.2225161
0.03458492,0.01775435,0.2244624
0.03476858,-0.007546032,0.2205672
-0.4483668,0.05890247,0.6086697
-0.4684712,0.09424755,0.5335732
0.009140328,0.01427708,0.2230231
0.0646168,-0.1367751,0.2210966
0.007854819,0.002044714,0.2226012
0.03437512,0.01781124,0.224209
0.0347143,-0.007462817,0.2200781
0.02810641,0.01200381,0.2171605
-0.4488816,0.05901138,0.6087564
-0.3293263,-0.1762509,0.5504141
-0.4701335,0.09451015,0.5345956
-0.6468505,-0.08756907,0.6026288
0.009135276,0.01430215,0.2229379
-0.05564395,-0.2069587,0.2773737
0.06447667,-0.1368428,0.2212725
0.007773563,0.002073339,0.2226285
0.03467131,0.01777939,0.2236011
-0.3008454,-0.1565229,0.5080316
0.02832334,0.01187062,0.2161676
-0.4509656,0.05927469,0.6107246
-0.3293474,-0.1761938,0.5503515
-0.434673,0.09063151,0.6224807
-0.4725028,0.09491888,0.5365047
-0.6468956,-0.0875231,0.6025744
0.009099662,0.01420329,0.2228043
-0.05570738,-0.2069004,0.277483
0.06435609,-0.1369441,0.2215036
0.00778605,0.002089011,0.2225984
0.06696499,-0.1398323,0.2408249
0.0282094,0.01192872,0.216372
